Topic,Indicator Name,Long definition
Attainment,"Barro-Lee: Population in thousands, age 15-19, total","Population in thousands, age 15-19, total is the total population of 15-19 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 15-19, female","Population in thousands, age 15-19, female is the female population of 15-19 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 15+, total","Population in thousands, age 15+, total is the total population over age 15 in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 15+, female","Population in thousands, age 15+, female is the female population over age 15 in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 20-24, total","Population in thousands, age 20-24, total is the total population of 20-24 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 20-24, female","Population in thousands, age 20-24, female is the female population of 20-24 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 25-29, total","Population in thousands, age 25-29, total is the total population of 25-29 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 25-29, female","Population in thousands, age 25-29, female is the female population of 25-29 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 25+, total","Population in thousands, age 25+, total is the total population over age 25 in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 25+, female","Population in thousands, age 25+, female is the female population over age 25 in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 30-34, total","Population in thousands, age 30-34, total is the total population of 30-34 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 30-34, female","Population in thousands, age 30-34, female is the female population of 30-34 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 35-39, total","Population in thousands, age 35-39, total is the total population of 35-39 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 35-39, female","Population in thousands, age 35-39, female is the female population of 35-39 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 40-44, total","Population in thousands, age 40-44, total is the total population of 40-44 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 40-44, female","Population in thousands, age 40-44, female is the female population of 40-44 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 45-49, total","Population in thousands, age 45-49, total is the total population of 45-49 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 45-49, female","Population in thousands, age 45-49, female is the female population of 45-49 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 50-54, total","Population in thousands, age 50-54, total is the total population of 50-54 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 50-54, female","Population in thousands, age 50-54, female is the female population of 50-54 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 55-59, total","Population in thousands, age 55-59, total is the total population of 55-59 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 55-59, female","Population in thousands, age 55-59, female is the female population of 55-59 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 60-64, total","Population in thousands, age 60-64, total is the total population of 60-64 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 60-64, female","Population in thousands, age 60-64, female is the female population of 60-64 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 65-69, total","Population in thousands, age 65-69, total is the total population of 65-69 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 65-69, female","Population in thousands, age 65-69, female is the female population of 65-69 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 70-74, total","Population in thousands, age 70-74, total is the total population of 70-74 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 70-74, female","Population in thousands, age 70-74, female is the female population of 70-74 year olds in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 75+, total","Population in thousands, age 75+, total is the total population over age 75 in thousands estimated by Barro-Lee."
Attainment,"Barro-Lee: Population in thousands, age 75+, female","Population in thousands, age 75+, female is the female population over age 75 in thousands estimated by Barro-Lee."
Attainment,Barro-Lee: Percentage of female population age 15-19 with primary schooling. Completed Primary,Percentage of female population age 15-19 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of population age 15-19 with primary schooling. Completed Primary,Percentage of population age 15-19 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of female population age 15+ with primary schooling. Completed Primary,Percentage of female population age 15+ with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of population age 15+ with primary schooling. Completed Primary,Percentage of population age 15+ with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of female population age 20-24 with primary schooling. Completed Primary,Percentage of female population age 20-24 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of population age 20-24 with primary schooling. Completed Primary,Percentage of population age 20-24 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of female population age 25-29 with primary schooling. Completed Primary,Percentage of female population age 25-29 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of population age 25-29 with primary schooling. Completed Primary,Percentage of population age 25-29 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of female population age 25+ with primary schooling. Completed Primary,Percentage of female population age 25+ with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of population age 25+ with primary schooling. Completed Primary,Percentage of population age 25+ with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of female population age 30-34 with primary schooling. Completed Primary,Percentage of female population age 30-34 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of population age 30-34 with primary schooling. Completed Primary,Percentage of population age 30-34 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of female population age 35-39 with primary schooling. Completed Primary,Percentage of female population age 35-39 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of population age 35-39 with primary schooling. Completed Primary,Percentage of population age 35-39 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of female population age 40-44 with primary schooling. Completed Primary,Percentage of female population age 40-44 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of population age 40-44 with primary schooling. Completed Primary,Percentage of population age 40-44 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of female population age 45-49 with primary schooling. Completed Primary,Percentage of female population age 45-49 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of population age 45-49 with primary schooling. Completed Primary,Percentage of population age 45-49 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of female population age 50-54 with primary schooling. Completed Primary,Percentage of female population age 50-54 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of population age 50-54 with primary schooling. Completed Primary,Percentage of population age 50-54 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of female population age 55-59 with primary schooling. Completed Primary,Percentage of female population age 55-59 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of population age 55-59 with primary schooling. Completed Primary,Percentage of population age 55-59 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of female population age 60-64 with primary schooling. Completed Primary,Percentage of female population age 60-64 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of population age 60-64 with primary schooling. Completed Primary,Percentage of population age 60-64 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of female population age 65-69 with primary schooling. Completed Primary,Percentage of female population age 65-69 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of population age 65-69 with primary schooling. Completed Primary,Percentage of population age 65-69 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of female population age 70-74 with primary schooling. Completed Primary,Percentage of female population age 70-74 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of population age 70-74 with primary schooling. Completed Primary,Percentage of population age 70-74 with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of female population age 75+ with primary schooling. Completed Primary,Percentage of female population age 75+ with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of population age 75+ with primary schooling. Completed Primary,Percentage of population age 75+ with primary schooling. Completed Primary
Attainment,Barro-Lee: Percentage of female population age 15-19 with primary schooling. Total (Incomplete and Completed Primary),Percentage of female population age 15-19 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of population age 15-19 with primary schooling. Total (Incomplete and Completed Primary),Percentage of population age 15-19 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of female population age 15+ with primary schooling. Total (Incomplete and Completed Primary),Percentage of female population age 15+ with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of population age 15+ with primary schooling. Total (Incomplete and Completed Primary),Percentage of population age 15+ with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of female population age 20-24 with primary schooling. Total (Incomplete and Completed Primary),Percentage of female population age 20-24 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of population age 20-24 with primary schooling. Total (Incomplete and Completed Primary),Percentage of population age 20-24 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of female population age 25-29 with primary schooling. Total (Incomplete and Completed Primary),Percentage of female population age 25-29 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of population age 25-29 with primary schooling. Total (Incomplete and Completed Primary),Percentage of population age 25-29 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of female population age 25+ with primary schooling. Total (Incomplete and Completed Primary),Percentage of female population age 25+ with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of population age 25+ with primary schooling. Total (Incomplete and Completed Primary),Percentage of population age 25+ with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of female population age 30-34 with primary schooling. Total (Incomplete and Completed Primary),Percentage of female population age 30-34 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of population age 30-34 with primary schooling. Total (Incomplete and Completed Primary),Percentage of population age 30-34 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of female population age 35-39 with primary schooling. Total (Incomplete and Completed Primary),Percentage of female population age 35-39 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of population age 35-39 with primary schooling. Total (Incomplete and Completed Primary),Percentage of population age 35-39 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of female population age 40-44 with primary schooling. Total (Incomplete and Completed Primary),Percentage of female population age 40-44 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of population age 40-44 with primary schooling. Total (Incomplete and Completed Primary),Percentage of population age 40-44 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of female population age 45-49 with primary schooling. Total (Incomplete and Completed Primary),Percentage of female population age 45-49 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of population age 45-49 with primary schooling. Total (Incomplete and Completed Primary),Percentage of population age 45-49 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of female population age 50-54 with primary schooling. Total (Incomplete and Completed Primary),Percentage of female population age 50-54 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of population age 50-54 with primary schooling. Total (Incomplete and Completed Primary),Percentage of population age 50-54 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of female population age 55-59 with primary schooling. Total (Incomplete and Completed Primary),Percentage of female population age 55-59 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of population age 55-59 with primary schooling. Total (Incomplete and Completed Primary),Percentage of population age 55-59 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of female population age 60-64 with primary schooling. Total (Incomplete and Completed Primary),Percentage of female population age 60-64 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of population age 60-64 with primary schooling. Total (Incomplete and Completed Primary),Percentage of population age 60-64 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of female population age 65-69 with primary schooling. Total (Incomplete and Completed Primary),Percentage of female population age 65-69 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of population age 65-69 with primary schooling. Total (Incomplete and Completed Primary),Percentage of population age 65-69 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of female population age 70-74 with primary schooling. Total (Incomplete and Completed Primary),Percentage of female population age 70-74 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of population age 70-74 with primary schooling. Total (Incomplete and Completed Primary),Percentage of population age 70-74 with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of female population age 75+ with primary schooling. Total (Incomplete and Completed Primary),Percentage of female population age 75+ with primary schooling. Total (Incomplete and Completed Primary)
Attainment,Barro-Lee: Percentage of population age 75+ with primary schooling. Total (Incomplete and Completed Primary),Percentage of population age 75+ with primary schooling. Total (Incomplete and Completed Primary)
Attainment,"Barro-Lee: Average years of primary schooling, age 15-19, total","Average years of primary schooling, 15-19, total is the average years of primary education completed among people age 15-19."
Attainment,"Barro-Lee: Average years of primary schooling, age 15-19, female","Average years of primary schooling, 15-19, female is the average years of primary education completed among females age 15-19."
Attainment,"Barro-Lee: Average years of primary schooling, age 15+, total","Average years of primary schooling, 15+, total is the average years of primary education completed among people over age 15."
Attainment,"Barro-Lee: Average years of primary schooling, age 15+, female","Average years of primary schooling, 15+, female is the average years of primary education completed among females over age 15."
Attainment,"Barro-Lee: Average years of primary schooling, age 20-24, total","Average years of primary schooling, 20-24, total is the average years of primary education completed among people age 20-24."
Attainment,"Barro-Lee: Average years of primary schooling, age 20-24, female","Average years of primary schooling, 20-24, female is the average years of primary education completed among females age 20-24."
Attainment,"Barro-Lee: Average years of primary schooling, age 25-29, total","Average years of primary schooling, 25-29, total is the average years of primary education completed among people age 25-29."
Attainment,"Barro-Lee: Average years of primary schooling, age 25-29, female","Average years of primary schooling, 25-29, female is the average years of primary education completed among females age 25-29."
Attainment,"Barro-Lee: Average years of primary schooling, age 25+, total","Average years of primary schooling, 25+, total is the average years of primary education completed among people over age 25."
Attainment,"Barro-Lee: Average years of primary schooling, age 25+, female","Average years of primary schooling, 25+, female is the average years of primary education completed among females over age 25."
Attainment,"Barro-Lee: Average years of primary schooling, age 30-34, total","Average years of primary schooling, 30-34, total is the average years of primary education completed among people age 30-34."
Attainment,"Barro-Lee: Average years of primary schooling, age 30-34, female","Average years of primary schooling, 30-34, female is the average years of primary education completed among females age 30-34."
Attainment,"Barro-Lee: Average years of primary schooling, age 35-39, total","Average years of primary schooling, 35-39, total is the average years of primary education completed among people age 35-39."
Attainment,"Barro-Lee: Average years of primary schooling, age 35-39, female","Average years of primary schooling, 35-39, female is the average years of primary education completed among females age 35-39."
Attainment,"Barro-Lee: Average years of primary schooling, age 40-44, total","Average years of primary schooling, 40-44, total is the average years of primary education completed among people age 40-44."
Attainment,"Barro-Lee: Average years of primary schooling, age 40-44, female","Average years of primary schooling, 40-44, female is the average years of primary education completed among females age 40-44."
Attainment,"Barro-Lee: Average years of primary schooling, age 45-49, total","Average years of primary schooling, 45-49, total is the average years of primary education completed among people age 45-49."
Attainment,"Barro-Lee: Average years of primary schooling, age 45-49, female","Average years of primary schooling, 45-49, female is the average years of primary education completed among females age 45-49."
Attainment,"Barro-Lee: Average years of primary schooling, age 50-54, total","Average years of primary schooling, 50-54, total is the average years of primary education completed among people age 50-54."
Attainment,"Barro-Lee: Average years of primary schooling, age 50-54, female","Average years of primary schooling, 50-54, female is the average years of primary education completed among females age 50-54."
Attainment,"Barro-Lee: Average years of primary schooling, age 55-59, total","Average years of primary schooling, 55-59, total is the average years of primary education completed among people age 55-59."
Attainment,"Barro-Lee: Average years of primary schooling, age 55-59, female","Average years of primary schooling, 55-59, female is the average years of primary education completed among females age 55-59."
Attainment,"Barro-Lee: Average years of primary schooling, age 60-64, total","Average years of primary schooling, 60-64, total is the average years of primary education completed among people age 60-64."
Attainment,"Barro-Lee: Average years of primary schooling, age 60-64, female","Average years of primary schooling, 60-64, female is the average years of primary education completed among females age 60-64."
Attainment,"Barro-Lee: Average years of primary schooling, age 65-69, total","Average years of primary schooling, 65-69, total is the average years of primary education completed among people age 65-69."
Attainment,"Barro-Lee: Average years of primary schooling, age 65-69, female","Average years of primary schooling, 65-69, female is the average years of primary education completed among females age 65-69."
Attainment,"Barro-Lee: Average years of primary schooling, age 70-74, total","Average years of primary schooling, 70-74, total is the average years of primary education completed among people age 70-74."
Attainment,"Barro-Lee: Average years of primary schooling, age 70-74, female","Average years of primary schooling, 70-74, female is the average years of primary education completed among females age 70-74."
Attainment,"Barro-Lee: Average years of primary schooling, age 75+, total","Average years of primary schooling, 75+, total is the average years of primary education completed among people over age 75."
Attainment,"Barro-Lee: Average years of primary schooling, age 75+, female","Average years of primary schooling, 75+, female is the average years of primary education completed among females over age 75."
Attainment,"Barro-Lee: Average years of total schooling, age 15-19, total","Average years of total schooling, 15-19, total is the average years of education completed among people age 15-19."
Attainment,"Barro-Lee: Average years of total schooling, age 15-19, female","Average years of total schooling, 15-19, female is the average years of education completed among females age 15-19."
Attainment,"Barro-Lee: Average years of total schooling, age 15+, total","Average years of total schooling, 15+, total is the average years of education completed among people over age 15."
Attainment,"Barro-Lee: Average years of total schooling, age 15+, female","Average years of total schooling, 15+, female is the average years of education completed among females over age 15."
Attainment,"Barro-Lee: Average years of total schooling, age 20-24, total","Average years of total schooling, 20-24, total is the average years of education completed among people age 20-24."
Attainment,"Barro-Lee: Average years of total schooling, age 20-24, female","Average years of total schooling, 20-24, female is the average years of education completed among females age 20-24."
Attainment,"Barro-Lee: Average years of total schooling, age 25-29, total","Average years of total schooling, 25-29, total is the average years of education completed among people age 25-29."
Attainment,"Barro-Lee: Average years of total schooling, age 25-29, female","Average years of total schooling, 25-29, female is the average years of education completed among females age 25-29."
Attainment,"Barro-Lee: Average years of total schooling, age 25+, total","Average years of total schooling, 25+, total is the average years of education completed among people over age 25."
Attainment,"Barro-Lee: Average years of total schooling, age 25+, female","Average years of total schooling, 25+, female is the average years of education completed among females over age 25."
Attainment,"Barro-Lee: Average years of total schooling, age 30-34, total","Average years of total schooling, 30-34, total is the average years of education completed among people age 30-34."
Attainment,"Barro-Lee: Average years of total schooling, age 30-34, female","Average years of total schooling, 30-34, female is the average years of education completed among females age 30-34."
Attainment,"Barro-Lee: Average years of total schooling, age 35-39, total","Average years of total schooling, 35-39, total is the average years of education completed among people age 35-39."
Attainment,"Barro-Lee: Average years of total schooling, age 35-39, female","Average years of total schooling, 35-39, female is the average years of education completed among females age 35-39."
Attainment,"Barro-Lee: Average years of total schooling, age 40-44, total","Average years of total schooling, 40-44, total is the average years of education completed among people age 40-44."
Attainment,"Barro-Lee: Average years of total schooling, age 40-44, female","Average years of total schooling, 40-44, female is the average years of education completed among females age 40-44."
Attainment,"Barro-Lee: Average years of total schooling, age 45-49, total","Average years of total schooling, 45-49, total is the average years of education completed among people age 45-49."
Attainment,"Barro-Lee: Average years of total schooling, age 45-49, female","Average years of total schooling, 45-49, female is the average years of education completed among females age 45-49."
Attainment,"Barro-Lee: Average years of total schooling, age 50-54, total","Average years of total schooling, 50-54, total is the average years of education completed among people age 50-54."
Attainment,"Barro-Lee: Average years of total schooling, age 50-54, female","Average years of total schooling, 50-54, female is the average years of education completed among females age 50-54."
Attainment,"Barro-Lee: Average years of total schooling, age 55-59, total","Average years of total schooling, 55-59, total is the average years of education completed among people age 55-59."
Attainment,"Barro-Lee: Average years of total schooling, age 55-59, female","Average years of total schooling, 55-59, female is the average years of education completed among females age 55-59."
Attainment,"Barro-Lee: Average years of total schooling, age 60-64, total","Average years of total schooling, 60-64, total is the average years of education completed among people age 60-64."
Attainment,"Barro-Lee: Average years of total schooling, age 60-64, female","Average years of total schooling, 60-64, female is the average years of education completed among females age 60-64."
Attainment,"Barro-Lee: Average years of total schooling, age 65-69, total","Average years of total schooling, 65-69, total is the average years of education completed among people age 65-69."
Attainment,"Barro-Lee: Average years of total schooling, age 65-69, female","Average years of total schooling, 65-69, female is the average years of education completed among females age 65-69."
Attainment,"Barro-Lee: Average years of total schooling, age 70-74, total","Average years of total schooling, 70-74, total is the average years of education completed among people age 70-74."
Attainment,"Barro-Lee: Average years of total schooling, age 70-74, female","Average years of total schooling, 70-74, female is the average years of education completed among females age 70-74."
Attainment,"Barro-Lee: Average years of total schooling, age 75+, total","Average years of total schooling, 75+, total is the average years of education completed among people over age 75."
Attainment,"Barro-Lee: Average years of total schooling, age 75+, female","Average years of total schooling, 75+, female is the average years of education completed among females over age 75."
Attainment,Barro-Lee: Percentage of female population age 15-19 with secondary schooling. Completed Secondary,Percentage of female population age 15-19 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of population age 15-19 with secondary schooling. Completed Secondary,Percentage of population age 15-19 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of female population age 15+ with secondary schooling. Completed Secondary,Percentage of female population age 15+ with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of population age 15+ with secondary schooling. Completed Secondary,Percentage of population age 15+ with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of female population age 20-24 with secondary schooling. Completed Secondary,Percentage of female population age 20-24 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of population age 20-24 with secondary schooling. Completed Secondary,Percentage of population age 20-24 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of female population age 25-29 with secondary schooling. Completed Secondary,Percentage of female population age 25-29 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of population age 25-29 with secondary schooling. Completed Secondary,Percentage of population age 25-29 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of female population age 25+ with secondary schooling. Completed Secondary,Percentage of female population age 25+ with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,Percentage of population age 25+ with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of female population age 30-34 with secondary schooling. Completed Secondary,Percentage of female population age 30-34 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of population age 30-34 with secondary schooling. Completed Secondary,Percentage of population age 30-34 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of female population age 35-39 with secondary schooling. Completed Secondary,Percentage of female population age 35-39 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of population age 35-39 with secondary schooling. Completed Secondary,Percentage of population age 35-39 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of female population age 40-44 with secondary schooling. Completed Secondary,Percentage of female population age 40-44 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of population age 40-44 with secondary schooling. Completed Secondary,Percentage of population age 40-44 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of female population age 45-49 with secondary schooling. Completed Secondary,Percentage of female population age 45-49 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of population age 45-49 with secondary schooling. Completed Secondary,Percentage of population age 45-49 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of female population age 50-54 with secondary schooling. Completed Secondary,Percentage of female population age 50-54 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of population age 50-54 with secondary schooling. Completed Secondary,Percentage of population age 50-54 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of female population age 55-59 with secondary schooling. Completed Secondary,Percentage of female population age 55-59 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of population age 55-59 with secondary schooling. Completed Secondary,Percentage of population age 55-59 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of female population age 60-64 with secondary schooling. Completed Secondary,Percentage of female population age 60-64 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of population age 60-64 with secondary schooling. Completed Secondary,Percentage of population age 60-64 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of female population age 65-69 with secondary schooling. Completed Secondary,Percentage of female population age 65-69 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of population age 65-69 with secondary schooling. Completed Secondary,Percentage of population age 65-69 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of female population age 70-74 with secondary schooling. Completed Secondary,Percentage of female population age 70-74 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of population age 70-74 with secondary schooling. Completed Secondary,Percentage of population age 70-74 with secondary schooling. Completed Secondary
Attainment,Barro-Lee: Percentage of female population age 75+ with secondary schooling. Completed Secondary,Percentage of female population age 75+ with secondary schooling. Completed Secondary
